,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G PK,G+A PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
111,112,Matt Doherty,IRL,DF,Wolves,27,1992,27,24,2149,4,1,0,0,1,0,0,0,0,0.17,0.21,4.7,4.7,0.8,0.2,0.03,0.23,0.2,0.23,Matches
112,113,Abdoulaye Doucoure,FRA,MF,Watford,26,1993,28,28,2443,4,2,0,0,8,0,0,0,0,0.15,0.22,4.1,4.1,2.6,0.15,0.1,0.25,0.15,0.25,Matches
113,114,Danny Drinkwater,ENG,MF,Burnley,29,1990,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,115,Danny Drinkwater,ENG,MF,Aston Villa,29,1990,4,4,259,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.04,0.01,0.05,0.04,0.05,Matches
115,116,Josip Drmic,SUI,FWMF,Norwich City,26,1992,14,0,228,1,0,0,0,0,0,0,0,0,0.39,0.39,2.4,2.4,0.1,0.93,0.04,0.97,0.93,0.97,Matches
116,117,Martin Dubravka,SVK,GK,Newcastle Utd,30,1989,29,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,118,Ondrej Duda,SVK,MF,Norwich City,24,1994,7,7,577,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,1,0.11,0.15,0.27,0.11,0.27,Matches
118,119,Shane Duffy,IRL,DF,Brighton,27,1992,15,11,1075,1,0,0,0,1,0,0,0,0,0.08,0.08,1.5,1.5,0,0.13,0,0.13,0.13,0.13,Matches
119,120,Paul Dummett,WAL,DF,Newcastle Utd,27,1991,16,14,1228,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,Matches
120,121,Lewis Dunk,ENG,DF,Brighton,27,1991,27,27,2430,2,3,0,0,9,0,0,0,0,0.07,0.19,3.2,3.2,0.9,0.12,0.03,0.15,0.12,0.15,Matches
121,122,Ederson,BRA,GK,Manchester City,25,1993,25,25,2171,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,123,John Egan,IRL,DF,Sheffield Utd,26,1992,27,27,2418,0,0,0,0,2,0,0,0,0,0,0,1.4,1.4,0.1,0.05,0,0.06,0.05,0.06,Matches
123,124,Harvey Elliot,ENG,FW,Liverpool,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,125,Ahmed Elmohamady,EGY,DF,Aston Villa,31,1987,12,8,767,0,1,0,0,0,0,0,0,0,0,0.12,0.2,0.2,1.2,0.03,0.14,0.17,0.03,0.17,Matches
125,126,Bjorn Engels,BEL,DF,Aston Villa,24,1994,17,15,1447,1,0,0,0,1,0,0,0,0,0.06,0.06,0.9,0.9,0.1,0.05,0.01,0.06,0.05,0.06,Matches
126,127,Christian Eriksen,DEN,MFFW,Tottenham,27,1992,20,10,1097,2,2,0,0,5,0,0,0,0,0.16,0.33,2,2,2,0.16,0.17,0.33,0.16,0.33,Matches
127,128,Jonny Evans,NIR,DF,Leicester City,31,1988,29,29,2574,1,1,0,0,5,0,0,0,0,0.03,0.07,2.1,2.1,0.4,0.07,0.01,0.09,0.07,0.09,Matches
128,129,Lukasz Fabianski,POL,GK,West Ham,34,1985,16,16,1307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,130,Fabinho,BRA,MF,Liverpool,25,1993,20,15,1449,1,1,0,0,5,0,0,0,0,0.06,0.12,0.2,0.2,1.2,0.01,0.08,0.09,0.01,0.09,Matches
130,131,Ralf Fahrmann,GER,GK,Norwich City,30,1988,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,132,Kiko Femenia,ESP,DF,Watford,28,1991,19,17,1526,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,1.2,0.01,0.07,0.07,0.01,0.07,Matches
132,133,Bruno Fernandes,POR,MF,Manchester Utd,24,1994,5,5,446,2,3,1,1,1,0,0,0,1,0.2,0.81,1.9,1.1,0.9,0.38,0.18,0.56,0.23,0.41,Matches
133,134,Gedson Fernandes,POR,MFDF,Tottenham,20,1999,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,0.29,0.35,0.06,0.35,Matches
134,135,Federico Fernandez,ARG,DF,Newcastle Utd,30,1989,23,20,1810,2,1,0,0,4,0,0,0,0,0.1,0.15,1.4,1.4,0.3,0.07,0.02,0.09,0.07,0.09,Matches
135,136,Fernandinho,BRA,DF,Manchester City,34,1985,23,22,1996,0,0,0,0,8,1,0,0,0,0,0,0.8,0.8,0.3,0.04,0.01,0.05,0.04,0.05,Matches
136,137,Roberto Firmino,BRA,FWMF,Liverpool,27,1991,29,27,2410,8,7,0,0,0,0,0,0,0,0.3,0.56,12.2,12.2,4.9,0.46,0.18,0.64,0.46,0.64,Matches
137,138,John Fleck,SCO,MF,Sheffield Utd,27,1991,25,25,2188,5,2,0,0,7,0,0,0,0,0.21,0.29,3.4,3.4,3.2,0.14,0.13,0.27,0.14,0.27,Matches
138,139,Phil Foden,ENG,MFFW,Manchester City,19,2000,14,3,363,0,1,0,0,0,0,0,0,0,0,0.25,0.4,0.4,0.5,0.11,0.14,0.24,0.11,0.24,Matches
139,140,Pablo Fornals,ESP,MF,West Ham,23,1996,27,15,1465,2,5,0,0,2,0,0,0,0,0.12,0.43,2.5,2.5,2,0.16,0.12,0.28,0.16,0.28,Matches
140,141,Ben Foster,ENG,GK,Watford,36,1983,29,29,2610,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,Matches
141,142,Dimitri Foulquier,FRA,MFDF,Watford,26,1993,3,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
142,143,Juan Foyth,ARG,DF,Tottenham,21,1998,4,1,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
143,144,Simon Francis,ENG,DF,Bournemouth,34,1985,15,10,969,0,0,0,0,5,1,0,0,0,0,0,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches
144,145,Ryan Fraser,SCO,MFFW,Bournemouth,25,1994,28,21,2067,1,4,0,0,2,0,0,0,0,0.04,0.22,3.3,3.3,4,0.14,0.18,0.32,0.14,0.32,Matches
145,146,Fred,BRA,MF,Manchester Utd,26,1993,25,22,2029,0,0,0,0,7,0,0,0,0,0,0,1.7,1.7,2.7,0.07,0.12,0.2,0.07,0.2,Matches
146,147,Ryan Fredericks,ENG,DF,West Ham,26,1992,20,19,1687,0,2,0,0,5,0,0,0,0,0,0.11,0,0,1.5,0,0.08,0.08,0,0.08,Matches
147,148,Luke Freeman,ENG,MF,Sheffield Utd,27,1992,9,3,326,0,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0.01,0.07,0.09,0.01,0.09,Matches
148,149,Christian Fuchs,AUT,DF,Leicester City,33,1986,8,7,634,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
149,150,Eric Garcia,ESP,DF,Manchester City,18,2001,6,2,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,151,James Garner,ENG,MF,Manchester Utd,18,2001,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
151,152,Dwight Gayle,ENG,FW,Newcastle Utd,28,1990,12,4,384,0,1,0,0,1,0,0,0,0,0,0.23,2.4,2.4,0.2,0.55,0.05,0.6,0.55,0.6,Matches
152,153,Paulo Gazzaniga,ARG,GK,Tottenham,27,1992,18,17,1613,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0.02,0.02,0,0.02,Matches
153,154,Jean Philippe Gbamin,CIV,MF,Everton,23,1995,2,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,155,David de Gea,ESP,GK,Manchester Utd,28,1990,29,29,2610,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,156,Anwar El Ghazi,NED,FWMF,Aston Villa,24,1995,25,21,1675,4,4,1,1,3,0,0,0,0,0.16,0.38,5.5,4.7,2.5,0.29,0.14,0.43,0.25,0.39,Matches
156,157,Morgan Gibbs White,ENG,MFFW,Wolves,19,2000,4,1,125,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.06,0.06,0.13,0.06,0.13,Matches
157,158,Billy Gilmour,SCO,MF,Chelsea,18,2001,3,1,101,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.07,0.12,0.05,0.12,Matches
158,159,Olivier Giroud,FRA,FW,Chelsea,32,1986,9,5,441,2,0,0,0,0,0,0,0,0,0.41,0.41,1.9,1.9,0.8,0.38,0.17,0.55,0.38,0.55,Matches
159,160,Ben Godfrey,ENG,DF,Norwich City,21,1998,21,21,1834,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0,0.03,0,0.03,0.03,0.03,Matches
160,161,Andre Gomes,POR,MF,Everton,26,1993,11,9,787,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.4,0.03,0.05,0.07,0.03,0.07,Matches
161,162,Angel Gomes,ENG,MF,Manchester Utd,18,2000,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.66,0.66,0,0.66,Matches
162,163,Joe Gomez,ENG,DF,Liverpool,22,1997,19,14,1281,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,Matches
163,164,Anthony Gordon,ENG,MFFW,Everton,18,2001,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.23,0,0.23,0.23,0.23,Matches
164,165,Dan Gosling,ENG,MF,Bournemouth,29,1990,16,10,884,2,1,0,0,1,0,0,0,0,0.2,0.31,1.6,1.6,0.3,0.16,0.03,0.19,0.16,0.19,Matches
165,166,Andre Gray,ENG,FW,Watford,28,1991,20,7,724,2,0,0,0,1,0,0,0,0,0.25,0.25,2.8,2.8,1.7,0.35,0.21,0.55,0.35,0.55,Matches
166,167,Demarai Gray,ENG,MFFW,Leicester City,23,1996,14,2,421,1,1,0,1,1,0,0,0,0,0.21,0.43,1.9,1.1,0.7,0.4,0.15,0.55,0.24,0.39,Matches
167,168,Jack Grealish,ENG,FWMF,Aston Villa,23,1995,26,26,2333,7,6,0,1,7,0,0,0,0,0.27,0.5,5.5,4.7,5.1,0.21,0.2,0.41,0.18,0.38,Matches
168,169,Mason Greenwood,ENG,FWMF,Manchester Utd,17,2001,22,4,660,5,0,0,0,0,0,0,0,0,0.68,0.68,2.1,2.1,0.3,0.29,0.04,0.33,0.29,0.33,Matches
169,170,Arnaut Groeneveld,NED,MF,Bournemouth,22,1997,9,4,409,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.15,0.03,0.18,0.15,0.18,Matches
170,171,Pascal Gross,GER,MFFW,Brighton,28,1991,23,18,1488,2,4,0,0,2,0,0,0,0,0.12,0.36,1.8,1.8,4.9,0.11,0.3,0.41,0.11,0.41,Matches
171,172,Vicente Guaita,ESP,GK,Crystal Palace,32,1987,27,27,2430,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,173,Matteo Guendouzi,FRA,MF,Arsenal,20,1999,22,17,1592,0,1,0,0,6,0,0,0,0,0,0.06,0.6,0.6,1.1,0.03,0.06,0.09,0.03,0.09,Matches
173,174,Frederic Guilbert,FRA,DF,Aston Villa,24,1994,23,21,1900,0,2,0,0,7,0,0,0,0,0,0.09,0.3,0.3,1.4,0.01,0.07,0.08,0.01,0.08,Matches
174,175,Ilkay Gundogan,GER,MF,Manchester City,28,1990,25,17,1593,2,1,1,2,7,0,0,0,0,0.06,0.11,4.3,2.8,2.4,0.24,0.14,0.38,0.16,0.29,Matches
175,176,Angus Gunn,ENG,GK,Southampton,23,1996,10,10,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,177,Sebastien Haller,FRA,FW,West Ham,25,1994,27,24,2147,7,1,0,0,1,0,0,0,0,0.29,0.34,7,7,1.9,0.3,0.08,0.38,0.3,0.38,Matches
177,178,Grant Hanley,SCO,DF,Norwich City,27,1991,15,14,1262,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,0,0.04,0,0.04,0.04,0.04,Matches
178,179,Kortney Hause,ENG,DF,Aston Villa,24,1995,11,11,990,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0,0.06,0,0.06,0.06,0.06,Matches
179,180,Isaac Hayden,ENG,MF,Newcastle Utd,24,1995,24,23,1966,1,1,0,0,4,1,0,0,0,0.05,0.09,0.9,0.9,1.5,0.04,0.07,0.11,0.04,0.11,Matches
180,181,Tom Heaton,ENG,GK,Aston Villa,33,1986,20,20,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,182,Dean Henderson,ENG,GK,Sheffield Utd,22,1997,27,27,2430,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,183,Jordan Henderson,ENG,MF,Liverpool,29,1990,25,22,1886,3,5,0,0,1,0,0,0,0,0.14,0.38,1.1,1.1,2.9,0.05,0.14,0.19,0.05,0.19,Matches
183,184,Jeff Hendrick,IRL,MF,Burnley,27,1992,24,22,1931,2,2,0,0,8,0,0,0,0,0.09,0.19,1.7,1.7,0.8,0.08,0.04,0.12,0.08,0.12,Matches
184,185,Wayne Hennessey,WAL,GK,Crystal Palace,32,1987,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
185,186,Javier Hernandez,MEX,FW,West Ham,31,1988,2,1,107,1,0,0,0,0,0,0,0,0,0.84,0.84,0.7,0.7,0,0.62,0,0.62,0.62,0.62,Matches
186,187,Onel Hernandez,CUB,FWMF,Norwich City,26,1993,17,7,765,1,1,0,0,0,0,0,0,0,0.12,0.24,1.1,1.1,0.6,0.13,0.07,0.2,0.13,0.2,Matches
187,188,Son Heung min,KOR,FW,Tottenham,27,1992,21,20,1743,9,7,0,1,0,2,0,0,0,0.46,0.83,7.2,6.3,4.9,0.37,0.25,0.62,0.33,0.58,Matches
188,189,Rob Holding,ENG,DFFW,Arsenal,23,1995,2,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
189,190,Jose Holebas,GRE,DF,Watford,35,1984,12,11,1005,0,0,0,0,5,0,0,0,0,0,0,0.4,0.4,0.7,0.04,0.07,0.1,0.04,0.1,Matches
190,191,Mason Holgate,ENG,DF,Everton,22,1996,22,19,1734,0,3,0,0,4,0,0,0,0,0,0.16,2.2,2.2,0.5,0.12,0.03,0.14,0.12,0.14,Matches
191,192,Nathan Holland,ENG,MF,West Ham,21,1998,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
192,193,Conor Hourihane,IRL,MF,Aston Villa,28,1991,18,11,946,3,2,0,0,4,0,0,0,0,0.29,0.48,1.1,1.1,2.8,0.11,0.27,0.37,0.11,0.37,Matches
193,194,Callum Hudson Odoi,ENG,FW,Chelsea,18,2000,17,7,777,1,4,0,0,1,0,0,0,0,0.12,0.58,2,2,2.3,0.23,0.27,0.49,0.23,0.49,Matches
194,195,Will Hughes,ENG,MF,Watford,24,1995,21,18,1510,1,1,0,0,4,0,0,0,0,0.06,0.12,2.4,2.4,0.8,0.14,0.05,0.19,0.14,0.19,Matches
195,196,Pierre Hojbjerg,DEN,MF,Southampton,23,1995,28,27,2448,0,1,0,0,5,0,0,0,0,0,0.04,2.2,2.2,1.8,0.08,0.07,0.15,0.08,0.15,Matches
196,197,Jordon Ibe,ENG,DF,Bournemouth,23,1995,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,198,Adam Idah,IRL,FW,Norwich City,18,2001,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,199,Odion Ighalo,NGA,FW,Manchester Utd,30,1989,4,0,34,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.1,2.87,0.21,3.08,2.87,3.08,Matches
199,200,Kelechi Iheanacho,NGA,FW,Leicester City,22,1996,12,7,584,3,3,0,0,1,0,0,0,0,0.46,0.92,2.8,2.8,2.1,0.43,0.33,0.76,0.43,0.76,Matches
200,201,Danny Ings,ENG,FW,Southampton,27,1992,29,23,1999,15,1,0,0,2,0,0,0,0,0.68,0.72,11.6,11.6,1.6,0.52,0.07,0.59,0.52,0.59,Matches
201,202,Alex Iwobi,NGA,MFFW,Everton,23,1996,18,13,1167,1,0,0,0,0,0,0,0,0,0.08,0.08,2.1,2.1,2,0.16,0.15,0.31,0.16,0.31,Matches
202,203,Phil Jagielka,ENG,DF,Sheffield Utd,36,1982,4,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,204,Alireza Jahanbakhsh,IRN,FWMF,Brighton,25,1993,8,3,289,2,0,0,0,0,0,0,0,0,0.62,0.62,0.5,0.5,0.1,0.15,0.02,0.17,0.15,0.17,Matches
204,205,Daniel James,WAL,FW,Manchester Utd,21,1997,27,25,2167,3,6,0,0,3,0,0,0,0,0.12,0.37,3.1,3.1,4,0.13,0.16,0.29,0.13,0.29,Matches
205,206,Matty James,ENG,MF,Leicester City,28,1991,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,207,Reece James,ENG,DF,Chelsea,19,1999,17,11,1069,0,2,0,0,1,0,0,0,0,0,0.17,0.7,0.7,1.8,0.06,0.15,0.21,0.06,0.21,Matches
207,208,Daryl Janmaat,NED,DF,Watford,30,1989,8,7,607,0,1,0,0,1,0,0,0,0,0,0.15,0.3,0.3,0.4,0.04,0.06,0.11,0.04,0.11,Matches
208,209,Gabriel Jesus,BRA,FW,Manchester City,22,1997,24,13,1343,10,4,0,1,2,0,0,0,0,0.67,0.94,13.2,12.4,1.4,0.88,0.09,0.98,0.83,0.93,Matches
209,210,Raul Jimenez,MEX,FW,Wolves,28,1991,29,28,2454,13,6,3,3,3,0,0,0,0,0.37,0.59,12.9,10.6,5.1,0.47,0.19,0.66,0.39,0.58,Matches
210,211,Joelinton,BRA,FW,Newcastle Utd,22,1996,29,27,2223,1,2,0,0,6,0,0,0,0,0.04,0.12,3.9,3.9,2.2,0.16,0.09,0.25,0.16,0.25,Matches
211,212,Curtis Jones,ENG,MF,Liverpool,18,2001,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
212,213,Phil Jones,ENG,DF,Manchester Utd,27,1992,2,2,135,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.15,0,0.15,0.15,0.15,Matches
213,214,Jorginho,ITA,MF,Chelsea,27,1991,26,23,2011,4,2,3,3,10,0,0,0,0,0.04,0.13,3.5,1.2,2.2,0.16,0.1,0.26,0.05,0.15,Matches
214,215,Jota,ESP,FWMF,Aston Villa,28,1991,8,4,314,0,1,0,0,0,0,0,0,0,0,0.29,0.1,0.1,0.6,0.04,0.18,0.21,0.04,0.21,Matches
215,216,Diogo Jota,POR,FWMF,Wolves,22,1996,25,21,1761,6,1,0,0,3,0,0,0,0,0.31,0.36,8.5,8.5,2.6,0.43,0.13,0.57,0.43,0.57,Matches
216,217,James Justin,ENG,DF,Leicester City,21,1998,4,2,202,0,1,0,0,0,0,0,0,0,0,0.45,0,0,0.4,0,0.19,0.19,0,0.19,Matches
217,218,Christian Kabasele,BEL,DF,Watford,28,1991,19,18,1575,0,1,0,0,3,2,0,0,0,0,0.06,0.9,0.9,0.3,0.05,0.02,0.07,0.05,0.07,Matches
218,219,Harry Kane,ENG,FW,Tottenham,26,1993,20,20,1778,11,2,2,2,2,0,0,0,0,0.46,0.56,6.9,5.4,1.8,0.35,0.09,0.44,0.27,0.36,Matches
219,220,NGolo Kante,FRA,MF,Chelsea,28,1991,18,16,1385,3,0,0,0,3,0,0,0,0,0.19,0.19,1.5,1.5,2,0.1,0.13,0.23,0.1,0.23,Matches
220,221,Moise Kean,ITA,FWMF,Everton,19,2000,22,5,687,1,2,0,0,0,0,0,0,0,0.13,0.39,3,3,0.5,0.4,0.07,0.46,0.4,0.46,Matches
221,222,Michael Keane,ENG,DF,Everton,26,1993,22,19,1749,1,0,0,0,0,0,0,0,0,0.05,0.05,1.4,1.4,0.4,0.07,0.02,0.09,0.07,0.09,Matches
222,223,Naby Keita,GUI,MF,Liverpool,24,1995,9,4,370,1,1,0,0,1,0,0,0,0,0.24,0.49,1.4,1.4,1.2,0.33,0.29,0.62,0.33,0.62,Matches
223,224,Martin Kelly,ENG,DF,Crystal Palace,29,1990,19,17,1549,0,1,0,0,0,0,0,0,0,0,0.06,0.1,0.1,0.9,0.01,0.05,0.06,0.01,0.06,Matches
224,225,Max Kilman,ENG,DF,Wolves,22,1997,3,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
225,226,Joshua King,NOR,FWMF,Bournemouth,27,1992,19,17,1462,4,2,1,1,0,0,0,0,0,0.18,0.31,4.8,4,2.7,0.29,0.17,0.46,0.25,0.41,Matches
226,227,Jonathan Kodjia,CIV,FWMF,Aston Villa,29,1989,6,0,117,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,0.04,0.04,Matches
227,228,Sead Kolasinac,BIH,DF,Arsenal,26,1993,17,13,1107,0,2,0,0,3,0,0,0,0,0,0.16,0.7,0.7,1,0.06,0.08,0.14,0.06,0.14,Matches
228,229,Ezri Konsa,ENG,DF,Aston Villa,21,1998,15,14,1199,0,2,0,0,1,0,0,0,0,0,0.15,0.6,0.6,0.1,0.05,0.01,0.05,0.05,0.05,Matches
229,230,Cheikhou Kouyate,SEN,MF,Crystal Palace,29,1989,27,23,1985,1,1,0,0,2,0,0,0,0,0.05,0.09,1.8,1.8,0.9,0.08,0.04,0.12,0.08,0.12,Matches
230,231,Mateo Kovacic,CRO,MF,Chelsea,25,1994,25,18,1685,1,3,0,0,7,0,0,0,0,0.05,0.21,1.1,1.1,1.9,0.06,0.1,0.16,0.06,0.16,Matches
231,232,Emil Krafth,SWE,DF,Newcastle Utd,24,1994,11,6,565,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.04,0,0.04,0.04,0.04,Matches
232,233,Tim Krul,NED,GK,Norwich City,31,1988,27,27,2430,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,234,Alexandre Lacazette,FRA,FW,Arsenal,28,1991,20,15,1315,7,3,0,0,5,0,0,0,0,0.48,0.68,5.5,5.5,2.1,0.37,0.15,0.52,0.37,0.52,Matches
234,235,Adam Lallana,ENG,MFFW,Liverpool,31,1988,15,3,382,1,1,0,0,1,0,0,0,0,0.24,0.47,1.1,1.1,0.6,0.25,0.14,0.39,0.25,0.39,Matches
235,236,Erik Lamela,ARG,MFFW,Tottenham,27,1992,17,10,936,2,1,0,0,3,0,0,0,0,0.19,0.29,2.2,2.2,1.6,0.21,0.15,0.36,0.21,0.36,Matches
236,237,Tariq Lamptey,ENG,DF,Chelsea,18,2000,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.38,0.38,0,0.38,Matches
237,238,Henri Lansbury,ENG,MF,Aston Villa,28,1990,9,2,194,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
238,239,Manuel Lanzini,ARG,MFFW,West Ham,26,1993,19,12,1188,0,2,0,0,0,0,0,0,0,0,0.15,1.7,1.7,2.3,0.13,0.17,0.3,0.13,0.3,Matches
239,240,Aymeric Laporte,FRA,DF,Manchester City,25,1994,7,7,504,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
240,241,Jamaal Lascelles,ENG,DF,Newcastle Utd,25,1993,19,19,1630,1,0,0,0,2,0,0,0,0,0.06,0.06,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,Matches
241,242,Valentino Lazaro,AUT,DF,Newcastle Utd,23,1996,4,2,218,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0.04,0.04,0,0.04,Matches
242,243,Moritz Leitner,GER,MF,Norwich City,26,1992,9,7,685,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.03,0.04,0.07,0.03,0.07,Matches
243,244,Florian Lejeune,FRA,DF,Newcastle Utd,28,1991,6,4,442,2,0,0,0,0,0,0,0,0,0.41,0.41,0.7,0.7,0.1,0.13,0.01,0.15,0.13,0.15,Matches
244,245,Aaron Lennon,ENG,MF,Burnley,32,1987,16,4,496,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02,Matches
245,246,Bernd Leno,GER,GK,Arsenal,27,1992,28,28,2520,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
246,247,Jefferson Lerma,COL,MF,Bournemouth,24,1994,24,22,1943,1,2,0,0,11,1,0,0,0,0.05,0.14,0.8,0.8,1.6,0.04,0.07,0.11,0.04,0.11,Matches
247,248,Jamal Lewis,NIR,DF,Norwich City,21,1998,19,16,1498,1,0,0,0,2,0,0,0,0,0.06,0.06,0.3,0.3,0.4,0.02,0.02,0.04,0.02,0.04,Matches
248,249,Victor Lindelof,SWE,DF,Manchester Utd,25,1994,26,26,2340,1,0,0,0,5,0,0,0,0,0.04,0.04,0.4,0.4,0.4,0.01,0.02,0.03,0.01,0.03,Matches
249,250,Jesse Lingard,ENG,MFFW,Manchester Utd,26,1992,20,9,892,0,0,0,0,3,0,0,0,0,0,0,1.9,1.9,0.8,0.19,0.09,0.28,0.19,0.28,Matches
250,251,Hugo Lloris,FRA,GK,Tottenham,32,1986,12,12,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
251,252,Giovani Lo Celso,ARG,MFFW,Tottenham,23,1996,19,7,878,0,0,0,0,5,0,0,0,0,0,0,0.9,0.9,0.9,0.09,0.1,0.19,0.09,0.19,Matches
252,253,Jurgen Locadia,NED,MFFW,Brighton,25,1993,2,1,86,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0.4,0.4,0.4,Matches
253,254,Kevin Long,IRL,MF,Burnley,28,1990,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,255,Shane Long,IRL,FW,Southampton,32,1987,19,13,1136,2,2,0,0,0,0,0,0,0,0.16,0.32,4.5,4.5,1.2,0.36,0.1,0.45,0.36,0.45,Matches
255,256,Matthew Longstaff,ENG,MF,Newcastle Utd,19,2000,7,6,545,2,0,0,0,1,0,0,0,0,0.33,0.33,0.3,0.3,0.2,0.06,0.03,0.09,0.06,0.09,Matches
256,257,Sean Longstaff,ENG,MF,Newcastle Utd,21,1997,21,13,1304,0,1,0,0,2,1,0,0,0,0,0.07,0.8,0.8,0.9,0.05,0.06,0.12,0.05,0.12,Matches
257,258,Dejan Lovren,CRO,DF,Liverpool,30,1989,9,9,759,0,1,0,0,1,0,0,0,0,0,0.12,0.3,0.3,0.4,0.04,0.05,0.09,0.04,0.09,Matches
258,259,Matthew Lowton,ENG,DF,Burnley,30,1989,15,15,1350,0,1,0,0,2,0,0,0,0,0,0.07,0,0,1.1,0,0.07,0.07,0,0.07,Matches
